Assay,Image_ID,counter,strain,drug,Drug_Count,Control_Count,count,CI,,,
20180321,11_A_0003,auto,DL238,isa,,,,0.384732437,,,
20180321,11_O_0001,auto,DL238,o,,,,-0.519146608,,,
20180321,11_O_0002,auto,DL238,o,,,,-0.288130028,,,
20180321,11_O_0003,auto,DL238,o,,,,0.112785474,,,
20180321,12_A_0001,auto,JU775,isa,,,,0.273777852,,,
20180321,12_A_0002,auto,JU775,isa,,,,0.491945686,,,
20180321,12_A_0003,auto,JU775,isa,,,,0.523031026,,,
20180321,12_O_0001,auto,JU775,o,,,,-0.631044291,,,
20180321,12_O_0002,auto,JU775,o,,,,-0.677142299,,,
20180321,12_O_0003,auto,JU775,o,,,,-0.596952463,,,
20180508,1_A_0001,auto,JT11398,isa,,,,0.756311315,,,
20180508,1_A_0002,auto,JT11398,isa,,,,0.195270786,,,
20180508,1_A_0003,auto,JT11398,isa,,,,0.35888872,,,
20180508,1_O_0001,auto,JT11398,o,,,,-0.326652387,,,
20180508,1_O_0002,auto,JT11398,o,,,,-0.202395965,,,
20180508,1_O_0003,auto,JT11398,o,,,,-0.172066893,,,
20180508,2_A_0001,auto,CX11314,isa,,,,0.57181829,,,
20180508,2_A_0002,auto,CX11314,isa,,,,0.355336866,,,
20180508,2_A_0003,auto,CX11314,isa,,,,0.865068272,,,
20180508,2_O_0001,auto,CX11314,o,,,,-0.344899791,,,
20180508,2_O_0002,auto,CX11314,o,,,,-0.202374528,,,
20180508,2_O_0003,auto,CX11314,o,,,,-0.757049546,,,
20180508,3_A_0001,auto,LKC34,isa,,,,0.605301584,,,
20180508,3_A_0002,auto,LKC34,isa,,,,0.20063358,,,
20180508,3_A_0003,auto,LKC34,isa,,,,-0.850227273,,,
20180508,3_O_0001,auto,LKC34,o,,,,-0.729876674,,,
20180508,3_O_0002,auto,LKC34,o,,,,-0.263760049,,,
20180508,3_O_0003,auto,LKC34,o,,,,-0.49112567,,,
20180508,4_A_0001,auto,CB4856,isa,,,,0.028390805,,,
20180508,4_A_0002,auto,CB4856,isa,,,,0.022604952,,,
20180508,4_A_0003,auto,CB4856,isa,,,,0.104733728,,,
20180508,4_O_0002,auto,CB4856,o,,,,-0.58910162,,,
20180508,6_A_0001,auto,JU775,isa,,,,0.65554125,,,
20180508,6_A_0002,auto,JU775,isa,,,,0.343192281,,,
20180508,6_A_0003,auto,JU775,isa,,,,0.620229008,,,
20180508,6_O_0001,auto,JU775,o,,,,-0.025041051,,,
20180508,6_O_0002,auto,JU775,o,,,,-0.088081547,,,
20180508,6_O_0003,auto,JU775,o,,,,-0.029786266,,,
20180508,7_A_0001,auto,MY16,isa,,,,-0.014450516,,,
20180508,7_A_0002,auto,MY16,isa,,,,0.443771243,,,
20180508,7_A_0003,auto,MY16,isa,,,,0.233521196,,,
20180508,7_O_0001,auto,MY16,o,,,,-0.62741573,,,
20180508,7_O_0002,auto,MY16,o,,,,-0.592818338,,,
20180508,7_O_0003,auto,MY16,o,,,,-0.739641162,,,
20180508,8_A_0001,auto,EG4725,isa,,,,0.700519261,,,
20180508,8_A_0002,auto,EG4725,isa,,,,0.784360522,,,
20180508,8_A_0003,auto,EG4725,isa,,,,0.288041319,,,
20180508,8_O_0001,auto,EG4725,o,,,,-0.409335933,,,
20180508,8_O_0002,auto,EG4725,o,,,,-0.723575195,,,
20180508,8_O_0003,auto,EG4725,o,,,,-0.690618136,,,
20180508,9_A_0001,auto,N2,isa,,,,0.882463004,,,
20180508,9_A_0002,auto,N2,isa,,,,0.311311141,,,
20180508,9_A_0003,auto,N2,isa,,,,0.622168876,,,
20180508,9_O_0002,auto,N2,o,,,,-0.940454545,,,
20180508,9_O_0003,auto,N2,o,,,,-0.604202352,,,
20180508,10_A_0001,auto,MY23,isa,,,,0.561287269,,,
20180508,10_A_0002,auto,MY23,isa,,,,0.457705363,,,
20180508,10_A_0003,auto,MY23,isa,,,,0.63807621,,,
20180508,10_O_0001,auto,MY23,o,,,,0.073120915,,,
20180508,10_O_0002,auto,MY23,o,,,,-0.468264249,,,
20180508,10_O_0003,auto,MY23,o,,,,-0.294205719,,,
20180508,11_A_0001,auto,DL238,isa,,,,-0.128205128,,,
20180508,11_A_0002,auto,DL238,isa,,,,0.342019544,,,
20180508,11_O_0001,auto,DL238,o,,,,-0.446260289,,,
20180508,11_O_0002,auto,DL238,o,,,,-0.441472734,,,
20180508,11_O_0003,auto,DL238,o,,,,-0.741072999,,,
20180508,12_A_0001,auto,JU258,isa,,,,0.56925116,,,
20180508,12_A_0002,auto,JU258,isa,,,,0.409516765,,,
20180508,12_A_0003,auto,JU258,isa,,,,0.245894363,,,
20180508,12_O_0001,auto,JU258,o,,,,-0.231916285,,,
20180508,12_O_0002,auto,JU258,o,,,,-0.554342667,,,
20180508,12_O_0003,auto,JU258,o,,,,-0.455777192,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
